Método,Ordenação Inicial,Nº de Elementos,Comparações,Movimentações,Tempo (μs)
QI1,OrdD,100000,800393,250252,790
QI1,OrdD,150000,1200393,375251,1103
QI1,OrdD,200000,1600393,500251,1474
QI1,OrdD,250000,2000393,625251,1867
QI1,OrdD,300000,2400393,750251,2217
QI1,OrdD,350000,2800393,875251,2598
QI1,OrdD,400000,3200393,1000251,2951
QI1,OrdD,450000,3600393,1125251,3330
QI1,OrdD,500000,4000393,1250252,4003
QI1,Ale,50000,4737909,4543041,6606
QI1,Ale,100000,18036069,17674001,21868
QI1,Ale,150000,39465074,38915659,44982
QI1,Ale,200000,69962664,69219505,77404
QI1,Ale,250000,108869480,107932629,118316
QI1,Ale,300000,154556818,153365772,165392
QI1,Ale,350000,210925678,209590844,224292
QI1,Ale,400000,275951452,274462919,290366
QI1,Ale,450000,348593745,346896703,364240
QI1,Ale,500000,429655564,427701601,449495
QI5,OrdC,50000,300097,50061,281
QI5,OrdC,100000,600097,100062,510
QI5,OrdC,150000,900097,150062,765
QI5,OrdC,200000,1200097,200062,1024
QI5,OrdC,250000,1500097,250062,1297
QI5,OrdC,300000,1800097,300062,1575
QI5,OrdC,350000,2100097,350061,1809
QI5,OrdC,400000,2400097,400061,2093
QI5,OrdC,450000,2700097,450061,2326
QI5,OrdC,500000,3000097,500061,2703
QI5,OrdD,50000,300101,125060,318
QI5,OrdD,100000,600101,250060,599
QI5,OrdD,150000,900101,375060,897
QI5,OrdD,200000,1200101,500060,1195
QI5,OrdD,250000,1500101,625060,1541
QI5,OrdD,300000,1800101,750060,1794
QI5,OrdD,350000,2100101,875060,2094
QI5,OrdD,400000,2400101,1000060,2417
QI5,OrdD,450000,2700101,1125060,2720
QI5,OrdD,500000,3000101,1250060,3020
QI5,Ale,50000,21399922,21266974,22779
QI5,Ale,100000,85074222,84818440,88803
QI5,Ale,150000,191457975,191053331,197386
QI5,Ale,200000,340391292,339884390,346513
QI5,Ale,250000,532883340,532237446,546809
QI5,Ale,300000,777076274,776337332,792645
QI5,Ale,350000,1033118908,1032187717,1061774
QI5,Ale,400000,1357690436,1356681054,1362027
QI5,Ale,450000,1779295557,1778188762,1740498
QI5,Ale,500000,2154871873,2153494102,2197099
QI10,OrdC,50000,250048,50030,238
QI10,OrdC,100000,500048,100030,443
QI10,OrdC,150000,750048,150030,662
QI10,OrdC,200000,1000048,200030,887
QI10,OrdC,250000,1250048,250030,1112
QI10,OrdC,300000,1500048,300030,1410
QI10,OrdC,350000,1750048,350030,1572
QI10,OrdC,400000,2000048,400030,1823
QI10,OrdC,450000,2250048,450030,2046
QI10,OrdC,500000,2500048,500030,2242
QI10,OrdD,50000,250051,125027,284
QI10,OrdD,100000,500051,250027,531
QI10,OrdD,150000,750051,375028,850
QI10,OrdD,200000,1000051,500028,1090
QI10,OrdD,250000,1250051,625028,1325
QI10,OrdD,300000,1500051,750028,1624
QI10,OrdD,350000,1750051,875028,1882
QI10,OrdD,400000,2000051,1000028,2157
QI10,OrdD,450000,2250051,1125028,2422
QI10,OrdD,500000,2500051,1250028,2720
QI10,Ale,50000,42527095,42422509,43742
QI10,Ale,100000,169131841,168909961,168450
QI10,Ale,150000,389694020,389392413,408419
QI10,Ale,200000,682389569,682014433,703118
QI10,Ale,250000,1096667400,1096197144,1106988
QI10,Ale,300000,1541463267,1540866980,1539029
QI10,Ale,350000,2055830588,2055041170,2106211
QI10,Ale,400000,2741692093,2740897912,2721593
QI10,Ale,450000,3422656662,3421691861,3381455
QI10,Ale,500000,4189377172,4188285289,4282093
QNR,OrdC,50000,750015,98301,1490
QNR,OrdC,100000,1600016,196605,3030
QNR,OrdC,150000,2456803,253392,4175
QNR,OrdC,200000,3400017,393213,6296
QNR,OrdC,250000,4250017,393213,6706
QNR,OrdC,300000,5213588,506784,8535
QNR,OrdC,350000,6213588,656783,11044
QNR,OrdC,400000,7200018,786428,12608
QNR,OrdC,450000,8100018,786428,13192
QNR,OrdC,500000,9000018,786428,13653
QNR,OrdD,50000,750028,173297,1512
QNR,OrdD,100000,1600030,346601,3063
QNR,OrdD,150000,2456820,478391,4214
QNR,OrdD,200000,3400032,693210,6287
QNR,OrdD,250000,4250032,768210,6773
QNR,OrdD,300000,5213606,956783,8815
QNR,OrdD,350000,6213606,1181783,10519
QNR,OrdD,400000,7200034,1386426,12726
QNR,OrdD,450000,8100034,1461426,14210
QNR,OrdD,500000,9000034,1536426,14704
QNR,Ale,50000,1044378,597707,4730
QNR,Ale,100000,2215356,1267413,9873
QNR,Ale,150000,3504257,1955782,15691
QNR,Ale,200000,4705000,2670256,21929
QNR,Ale,250000,5997228,3399171,26015
QNR,Ale,300000,7356004,4127418,33090
QNR,Ale,350000,8660197,4870711,39143
QNR,Ale,400000,9988033,5616945,42446
QNR,Ale,450000,11374172,6368042,48119
QNR,Ale,500000,12745310,7133625,53837
